ID,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
CL00004243,Jul,3,Thursday,Pontiac,Urban,Wednesday,Sep,2,Female,Single,38,Third Party,Sedan - Liability,Sport,30000 to 39000,0,6496,8,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
CL00003747,Mar,2,Thursday,Toyota,Urban,Monday,Mar,3,Male,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1659,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
CL00013111,Oct,1,Monday,Chevrolet,Urban,Wednesday,Oct,1,Male,Single,23,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12393,1,400,3,more than 30,more than 30,none,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils
CL00005394,Aug,3,Tuesday,Mazda,Urban,Monday,Aug,4,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11173,8,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision
CL00015298,May,2,Sunday,Mazda,Urban,Monday,May,2,Female,Married,50,Third Party,Sedan - All Perils,Sedan,more than 69000,0,15177,11,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
CL00010040,Sep,3,Friday,Pontiac,Urban,Thursday,Oct,1,Male,Married,21,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,2793,6,400,4,more than 30,more than 30,1,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
CL00005272,Aug,2,Tuesday,Honda,Urban,Wednesday,Aug,2,Male,Married,61,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7757,16,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
CL00014067,Dec,4,Monday,Mazda,Urban,Monday,Jan,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,4639,5,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00013540,Mar,3,Saturday,Mazda,Urban,Monday,Mar,3,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10997,11,400,3,more than 30,more than 30,none,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00009289,Nov,4,Tuesday,Pontiac,Urban,Wednesday,Nov,4,Female,Single,47,Third Party,Sedan - All Perils,Sedan,less than 20000,0,12853,11,500,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,2 vehicles,1996,All Perils
CL00013663,Sep,2,Saturday,Pontiac,Urban,Wednesday,Sep,3,Male,Married,66,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,14209,9,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,All Perils
CL00015377,Sep,2,Sunday,Pontiac,Urban,Monday,Sep,2,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,14514,3,400,2,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision
CL00009485,Aug,5,Monday,Mercury,Urban,Monday,Aug,5,Male,Married,46,Policy Holder,Utility - All Perils,Utility,30000 to 39000,1,5988,14,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00014147,Jul,1,Saturday,Chevrolet,Urban,Thursday,Jul,2,Male,Married,37,Third Party,Sedan - Collision,Sedan,more than 69000,0,15018,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision
CL00009797,Nov,3,Saturday,Honda,Urban,Monday,Nov,4,Male,Married,36,Third Party,Sedan - Liability,Sport,30000 to 39000,0,2657,11,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
CL00011523,Jun,2,Friday,Honda,Urban,Wednesday,Jun,5,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,4385,10,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00003473,Jan,1,Sunday,Pontiac,Urban,Monday,Jan,2,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1252,4,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00001010,Jun,4,Sunday,Toyota,Rural,Monday,Jun,4,Female,Single,28,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9863,5,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00013307,Sep,1,Friday,Pontiac,Rural,Friday,Sep,1,Male,Married,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14362,10,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
CL00011547,Apr,5,Saturday,Toyota,Urban,Friday,May,1,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6754,3,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
CL00008541,Dec,2,Tuesday,Honda,Urban,Monday,Dec,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4596,5,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
CL00014027,Sep,3,Monday,Honda,Urban,Tuesday,Sep,3,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9770,12,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00012200,Nov,1,Monday,Mazda,Urban,Wednesday,Dec,2,Male,Married,45,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1234,3,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00003731,May,3,Saturday,Toyota,Urban,Monday,May,5,Female,Single,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1593,11,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00002355,Dec,3,Friday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,33,Policy Holder,Sedan - Liability,Sport,more than 69000,0,10367,12,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00003871,Dec,3,Wednesday,Pontiac,Urban,Tuesday,Dec,4,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13306,12,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision
CL00003173,Apr,2,Monday,Honda,Urban,Tuesday,Apr,4,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,11451,16,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
CL00014956,Apr,1,Monday,Chevrolet,Urban,Thursday,Apr,3,Male,Married,38,Policy Holder,Sedan - Liability,Sport,more than 69000,0,7263,5,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
CL00002499,Sep,3,Tuesday,Pontiac,Urban,Friday,Oct,4,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11903,11,400,4,more than 30,more than 30,1,more than 7,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1996,All Perils
CL00010272,Nov,1,Wednesday,Chevrolet,Rural,Thursday,Dec,3,Female,Married,45,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14341,12,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils
CL00007045,Dec,3,Thursday,Ford,Rural,Tuesday,May,4,Male,Married,78,Policy Holder,Sport - All Perils,Sport,less than 20000,0,9363,13,700,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
CL00014360,Nov,2,Tuesday,Dodge,Urban,Tuesday,Nov,2,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11086,14,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
CL00007686,Jul,3,Saturday,Pontiac,Urban,Monday,Jul,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,3134,5,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00003353,Oct,5,Monday,Pontiac,Urban,Wednesday,Nov,1,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,13492,4,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
CL00013487,Jan,2,Wednesday,Pontiac,Urban,Friday,Jan,3,Male,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12040,8,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00007759,Dec,1,Saturday,Pontiac,Urban,Monday,Dec,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,10798,6,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00009596,Sep,2,Tuesday,Pontiac,Urban,Thursday,Sep,3,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,14556,12,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1996,Collision
CL00005376,Mar,4,Friday,Toyota,Urban,Thursday,Apr,2,Male,Married,47,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3952,2,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00005089,Jun,4,Monday,Pontiac,Urban,Tuesday,Jul,1,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,142,3,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
CL00009038,Jun,1,Tuesday,Toyota,Urban,Wednesday,Jun,2,Male,Single,44,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8306,14,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
CL00001956,Mar,4,Friday,Mazda,Urban,Friday,Mar,4,Female,Married,39,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3825,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00011964,Aug,3,Tuesday,Mazda,Urban,Wednesday,Sep,1,Female,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11985,12,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability
CL00007074,Oct,5,Monday,Toyota,Urban,Monday,Nov,3,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,12989,10,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
CL00003275,Aug,5,Tuesday,Honda,Urban,Monday,Sep,1,Male,Married,51,Policy Holder,Sport - Collision,Sport,more than 69000,0,2488,6,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
CL00003698,Mar,2,Saturday,Pontiac,Urban,Friday,Mar,3,Male,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8919,3,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,1995,Collision
CL00001238,Oct,3,Tuesday,Chevrolet,Urban,Wednesday,Oct,3,Male,Married,45,Third Party,Sedan - All Perils,Sedan,more than 69000,0,7327,6,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00004451,Nov,1,Thursday,Toyota,Urban,Monday,Nov,5,Female,Married,44,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,9693,16,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
CL00010341,Feb,3,Monday,Honda,Urban,Friday,Feb,4,Male,Single,47,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,10247,7,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00004283,Jun,1,Saturday,Chevrolet,Urban,Monday,Jun,2,Female,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7765,15,400,2,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision
CL00009509,Feb,1,Monday,Chevrolet,Rural,Tuesday,Feb,2,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3691,1,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,3 to 4,1994,Collision
CL00003550,Sep,2,Saturday,BMW,Urban,Tuesday,Oct,1,Male,Married,65,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6275,4,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
CL00003133,May,3,Saturday,Pontiac,Urban,Wednesday,May,4,Male,Married,76,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,14978,14,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
CL00000410,Feb,4,Thursday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7502,2,400,3,more than 30,more than 30,1,4 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
CL00003593,Sep,2,Thursday,Chevrolet,Urban,Thursday,Sep,2,Male,Married,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11308,7,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
CL00007305,Sep,2,Saturday,Toyota,Urban,Monday,Sep,3,Male,Single,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,10898,2,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00003134,Dec,4,Tuesday,Pontiac,Urban,Wednesday,Dec,4,Male,Single,29,Third Party,Sedan - Liability,Sport,20000 to 29000,0,11647,8,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability
CL00009961,Mar,2,Friday,Mazda,Urban,Friday,Mar,2,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3719,10,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
CL00001726,Feb,2,Monday,Honda,Urban,Monday,Feb,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,269,5,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00000954,Mar,5,Wednesday,Mazda,Urban,Tuesday,Apr,3,Male,Married,37,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,6164,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00006269,May,5,Wednesday,Pontiac,Urban,Friday,Jun,1,Male,Married,38,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,4021,5,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
CL00002253,Jan,1,Saturday,Toyota,Urban,Friday,Jan,2,Male,Married,57,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7014,1,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00004463,Feb,2,Friday,Mazda,Urban,Friday,Feb,2,Male,Single,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,8776,11,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
CL00004107,Oct,4,Sunday,Toyota,Urban,Monday,Oct,4,Male,Married,79,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,10242,4,400,2,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision
CL00003178,Feb,4,Sunday,Toyota,Rural,Wednesday,Mar,1,Male,Married,58,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13147,7,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,Liability
CL00003783,Apr,2,Wednesday,Pontiac,Urban,Thursday,Apr,4,Female,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,2822,11,700,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,1 year,1 vehicle,1994,All Perils
CL00012969,Dec,4,Friday,Chevrolet,Urban,Monday,Jan,1,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1954,2,700,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils
CL00004464,Mar,4,Thursday,Mazda,Urban,Thursday,Mar,4,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3824,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
CL00006641,Aug,3,Monday,Honda,Urban,Wednesday,Aug,4,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,14666,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
CL00013557,Jul,2,Tuesday,Honda,Urban,Wednesday,Jul,2,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13006,6,500,1,more than 30,more than 30,none,6 years,41 to 50,No,No,External,3 to 5,2 to 3 years,1 vehicle,1996,Collision
CL00006921,Jul,1,Monday,Mazda,Urban,Monday,Jul,1,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14684,13,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision
CL00001528,Jan,2,Tuesday,Chevrolet,Urban,Wednesday,Jan,2,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,6998,3,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
CL00014482,Dec,1,Wednesday,Mazda,Urban,Tuesday,Dec,2,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14742,7,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision
CL00007136,Feb,4,Wednesday,Honda,Urban,Friday,Mar,3,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2719,4,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
CL00011640,Mar,2,Thursday,Mazda,Urban,Tuesday,Mar,3,Male,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1920,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
CL00013574,May,1,Friday,Toyota,Urban,Friday,May,1,Male,Married,23,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,13221,14,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,All Perils
CL00002632,Jul,3,Saturday,Mazda,Urban,Thursday,Aug,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5123,12,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
CL00010738,Jan,2,Monday,Honda,Urban,Wednesday,Jan,3,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,7427,4,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
CL00006128,Feb,3,Monday,Toyota,Urban,Tuesday,Mar,1,Female,Married,39,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,6987,16,400,2,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
CL00011043,Nov,3,Friday,Pontiac,Rural,Wednesday,Nov,4,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,4087,4,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
CL00003945,May,1,Tuesday,Honda,Urban,Tuesday,May,1,Male,Married,53,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3421,2,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00000055,May,5,Tuesday,Toyota,Urban,Tuesday,May,5,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1977,3,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
CL00012338,Apr,4,Friday,Toyota,Urban,Tuesday,Apr,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3238,1,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
CL00004557,Jun,3,Tuesday,Toyota,Urban,Thursday,Jun,3,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,11280,1,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
